Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (km²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total,Crime Index,Pollution Index,Total Airports
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,CIA World Factbook,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists,Numbeo Crime Index,Numbeo Pollution Index,CIA World Factbook
Current,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2020-2023,2024,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025,2025 Mid-Year,2025 Mid-Year,2025
Poland,7.4,78.51,15.1,19.56,"36,687,353","812,451,128,978",0.25,26.11,135.15,37340.96,60.27,1.34,31.06,15.2,7.0,75.29,51.87,"3,377",39.78,2.5,17,15,2,0,6.673,31.0,760,47030,3.91,18,28.71,55.34,318
Singapore,7.4,82.9,11.79,13.1,"5,917,648","505,439,514,078",1.82,27.43,173.2,228648.44,1.0,2.59,21.18,1.1,4.9,98.02,61.97,"2,024",0,3.2,1,1,0,0,6.565,21.2,0,N/A,3.48,0,22.62,32.33,9
South Africa,18.77,66.14,26.08,6.52,"63,212,384","380,699,271,816",0.7,3.41,171.51,14786.99,84.05,1.75,14.0,9.7,8.77,27.17,52.93,"1,804",31.18,33.2,12,7,4,1,5.213,7.6,16700,2770000,3.74,11,74.57,56.68,573
Spain,6.7,83.88,13.26,20.65,"48,347,910","1,620,090,734,956",2.68,37.21,127.72,28736.57,1.56,3.31,37.18,19,9.74,94.51,52.84,"1,308",18.45,11.4,50,44,4,2,6.466,37.2,37593,7670,3.35,8,37.17,35.26,365
Sweden,9.5,83.31,17.25,20.54,"10,536,632","585,489,968,189",-0.11,40.73,140.27,52996.35,0.32,0.16,68.7,57.9,10.89,83.9,61.76,"1,771",11.26,8.5,15,13,1,1,7.345,68.7,519,0,3.56,34,48.06,17.58,206
Switzerland,9,84.06,15.01,19.61,"8,888,093","894,424,821,645",0.68,47.7,128.64,163635.1,0,0.05,32.3,27.7,11.71,74.15,62.29,"1,288",25.8,4.1,13,9,4,0,6.935,32.3,327,6949,2.85,25,26.71,23.97,66
Thailand,8.24,76.41,15.09,14.72,"71,702,435","515,906,283,940",2.02,15.75,168.64,3002.53,19.63,5.65,38.76,19,5.35,46.18,59.28,867,46.39,0.7,8,5,3,0,6.222,37.1,64150,20016,4.93,0,36.84,75.56,105
Turkey,11.2,77.16,21.84,10.0,"85,325,965","1,118,252,958,513",5.11,22.46,105.68,9881.99,36.31,0.37,29.28,12,3.7,127.58,35.76,"8,234",22.54,8.4,22,20,0,2,5.262,29.3,52150,137500,4.5,4,41.35,64.07,116
United Kingdom,10.02,81.24,17.41,19.24,"68,492,000","3,369,861,888,972",0.4,41.44,122.8,47354.45,1.57,0.83,13.26,12.2,10.87,80.15,57.37,"11,592",15.36,4.1,35,29,5,1,6.728,13.3,718,N/A,2.12,142,48.42,40.69,1057
United States,10.7,78.39,17.59,17.43,"336,806,231","27,720,709,000,000",2.89,38.15,112.41,186692.91,16.77,0.73,33.87,10.9,16.5,79.36,56.6,"262,244",16.7,4.1,26,13,12,1,6.724,33.9,234782,113343420,2.63,420,49.17,36.87,16116
Vietnam,13.83,74.59,23.61,8.62,"100,352,192","433,857,681,378",5.07,22.68,130.99,5256.31,40.2,0.06,47.2,24.2,4.59,42.22,69.53,"1,066",60.52,1.4,9,6,2,1,6.352,45.1,46000,48103,3.96,1,40.38,83.82,36
